Drug A,Drug B,Cell Line Name,Score
Azacitidine,Tretinoin,MDA-MB-231/ATCC,1.0
Tretinoin,Cladribine,DU-145,-1.3333333333333333
Thalidomide,Cladribine,CAKI-1,-8.666666666666666
Sirolimus,Mitotane,A498,0.8888888888888888
Zoledronic acid,Vorinostat,MCF7,1.8888888888888888
Docetaxel,Paclitaxel,HS 578T,-2.555555555555556
Thalidomide,Sirolimus,SF-268,-2.4444444444444446
Fulvestrant,Celecoxib,PC-3,-2.1111111111111107
Fulvestrant,Cladribine,CAKI-1,-1.0
Decitabine,Azacitidine,SF-295,-1.4444444444444444
Dasatinib,Celecoxib,KM12,-6.0
Dasatinib,Paclitaxel,A549/ATCC,2.4444444444444446
Mitotane,Dasatinib,NCI-H522,0.1111111111111111
Sirolimus,Cladribine,IGROV1,-6.777777777777778
Thalidomide,Tretinoin,SK-MEL-5,-6.0
Sirolimus,Mitotane,IGROV1,14.666666666666664
Vorinostat,Azacitidine,IGROV1,-0.7777777777777778
Everolimus,Nilotinib,SW-620,-0.3333333333333333
Zoledronic acid,Nilotinib,HCT-116,-8.777777777777779
Vorinostat,Nilotinib,OVCAR-3,-13.333333333333336
Decitabine,Sirolimus,MCF7,1.4444444444444444
Romidepsin,Paclitaxel,SF-268,5.222222222222221
Mitotane,Sirolimus,HCT-116,-0.3333333333333333
Sirolimus,Tretinoin,MDA-MB-231/ATCC,-1.2222222222222223
Everolimus,Romidepsin,SNB-75,-3.111111111111111
Romidepsin,Sirolimus,SF-268,-8.333333333333334
Zoledronic acid,Paclitaxel,SNB-75,-2.333333333333333
Mitotane,Dasatinib,ACHN,3.4444444444444446
Fulvestrant,Celecoxib,MDA-MB-468,-5.5555555555555545
Vorinostat,Romidepsin,IGROV1,1.3333333333333333
Vorinostat,Tretinoin,IGROV1,-1.8888888888888888
Mitotane,Paclitaxel,NCI-H522,-3.333333333333333
Everolimus,Vorinostat,NCI-H460,-0.3333333333333333
Megestrol acetate,Lenalidomide,A549/ATCC,1.2222222222222223
Dasatinib,Romidepsin,OVCAR-3,-5.888888888888888
Zoledronic acid,Dasatinib,NCI-H522,-4.4444444444444455
Everolimus,Nilotinib,NCI-H460,-2.888888888888889
Vorinostat,Sirolimus,MDA-MB-468,-7.333333333333332
Everolimus,Tretinoin,OVCAR-4,0.5555555555555556
Zoledronic acid,Sirolimus,SF-539,1.2222222222222223
Fulvestrant,Romidepsin,LOX IMVI,6.1111111111111125
Fulvestrant,Tretinoin,SK-MEL-5,2.333333333333333
Nilotinib,Cladribine,ACHN,0.5555555555555556
Vorinostat,Romidepsin,SNB-75,-1.5555555555555556
Everolimus,Paclitaxel,MDA-MB-231/ATCC,0.7777777777777778
Fulvestrant,Cladribine,NCI-H460,0.0
Fulvestrant,Celecoxib,SR,-12.444444444444445
Fulvestrant,Dasatinib,LOX IMVI,8.555555555555555
Vorinostat,Cladribine,OVCAR-8,-1.4444444444444444
Decitabine,Tretinoin,SF-539,4.2222222222222205
Dasatinib,Nilotinib,U251,-10.222222222222221
Everolimus,Nilotinib,LOX IMVI,-12.666666666666664
Dasatinib,Celecoxib,BT-549,-3.4444444444444446
Fulvestrant,Tretinoin,U251,0.3333333333333333
Fulvestrant,Dasatinib,CAKI-1,-2.7777777777777777
Romidepsin,Docetaxel,KM12,0.4444444444444444
Dasatinib,Paclitaxel,IGROV1,3.4444444444444446
Decitabine,Paclitaxel,U251,-18.666666666666668
Dasatinib,Azacitidine,SW-620,-0.7777777777777778
Zoledronic acid,Everolimus,SF-539,1.7777777777777777
Mitotane,Nilotinib,MDA-MB-231/ATCC,-4.333333333333333
Zoledronic acid,Azacitidine,SF-295,0.2222222222222222
Mitotane,Azacitidine,A549/ATCC,4.4444444444444455
Fulvestrant,Sirolimus,KM12,-6.0
Azacitidine,Romidepsin,NCI-H522,5.5555555555555545
Azacitidine,Tretinoin,PC-3,-4.4444444444444455
Tretinoin,Celecoxib,UACC-257,-0.4444444444444444
Everolimus,Tretinoin,A549/ATCC,-1.2222222222222223
Tretinoin,Cladribine,SK-MEL-28,-6.1111111111111125
Vorinostat,Paclitaxel,HS 578T,-12.333333333333336
Mitotane,Paclitaxel,OVCAR-3,-6.333333333333332
Docetaxel,Cladribine,T-47D,-12.0
Nilotinib,Mitotane,ACHN,-7.333333333333332
Zoledronic acid,Celecoxib,A498,-2.6666666666666665
Dasatinib,Paclitaxel,SW-620,-0.1111111111111111
Dasatinib,Vorinostat,LOX IMVI,-1.7777777777777777
Azacitidine,Romidepsin,SF-539,-5.777777777777778
Fulvestrant,Romidepsin,NCI-H23,5.888888888888888
Everolimus,Tretinoin,A498,-4.0
Thalidomide,Cladribine,SF-295,-3.2222222222222223
Thalidomide,Mitotane,HCT-15,-0.8888888888888888
Paclitaxel,Nilotinib,NCI-H522,9.333333333333334
Dasatinib,Romidepsin,SF-268,-2.1111111111111107
Cladribine,Celecoxib,IGROV1,-4.111111111111111
Romidepsin,Celecoxib,SK-MEL-28,-3.6666666666666665
Fulvestrant,Paclitaxel,HCT-116,-4.0
Paclitaxel,Tretinoin,A498,9.777777777777779
Romidepsin,Docetaxel,SF-539,1.5555555555555556
Sirolimus,Mitotane,PC-3,3.111111111111111
Fulvestrant,Cladribine,MDA-MB-468,-6.5555555555555545
Zoledronic acid,Dasatinib,SF-539,2.555555555555556
Thalidomide,Docetaxel,UACC-257,-11.0
Tretinoin,Cladribine,SK-MEL-5,-1.1111111111111112
Gefitinib,Lenalidomide,A549/ATCC,-0.7777777777777778
Vorinostat,Nilotinib,T-47D,-14.444444444444445
Vorinostat,Tretinoin,KM12,-9.555555555555557
Everolimus,Romidepsin,U251,0.6666666666666666
Docetaxel,Celecoxib,SF-268,2.2222222222222223
Dasatinib,Cladribine,OVCAR-3,-6.4444444444444455
Azacitidine,Tretinoin,DU-145,-2.4444444444444446
Vorinostat,Azacitidine,MDA-MB-231/ATCC,-8.11111111111111
Romidepsin,Paclitaxel,RPMI-8226,-4.0
Dasatinib,Tretinoin,HCT-15,-8.222222222222221
Paclitaxel,Sirolimus,LOX IMVI,3.4444444444444446
Docetaxel,Sirolimus,BT-549,1.0
Zoledronic acid,Romidepsin,IGROV1,16.77777777777778
Dasatinib,Celecoxib,UACC-257,-4.111111111111111
Mitotane,Cladribine,U251,-3.2222222222222223
Romidepsin,Cladribine,SK-MEL-28,4.333333333333333
Thalidomide,Tretinoin,HOP-92,0.1111111111111111
Vorinostat,Sirolimus,SW-620,3.4444444444444446
Everolimus,Tretinoin,K-562,0.4444444444444444
Everolimus,Cladribine,UACC-257,-3.555555555555556
Decitabine,Paclitaxel,SK-MEL-5,-6.333333333333332
Gefitinib,Lenalidomide,SF-539,-6.1111111111111125
Azacitidine,Romidepsin,DU-145,-0.3333333333333333
Paclitaxel,Celecoxib,NCI-H460,24.11111111111111
Paclitaxel,Tretinoin,NCI-H522,24.222222222222207
Sirolimus,Nilotinib,MCF7,-3.888888888888889
Mitotane,Tretinoin,MDA-MB-231/ATCC,0.3333333333333333
Mitotane,Docetaxel,SF-295,3.333333333333333
Decitabine,Paclitaxel,LOX IMVI,3.333333333333333
Dasatinib,Tretinoin,U251,-4.888888888888889
Thalidomide,Cladribine,HCT-15,-0.7777777777777778
Vorinostat,Tretinoin,UACC-257,3.0
Thalidomide,Tretinoin,OVCAR-4,-2.0
Zoledronic acid,Vorinostat,ACHN,-2.1111111111111107
Vorinostat,Cladribine,NCI-H460,-3.888888888888889
Nilotinib,Mitotane,A549/ATCC,-4.777777777777779
Zoledronic acid,Everolimus,SK-OV-3,-3.0
Zoledronic acid,Sirolimus,MDA-MB-468,2.0
Fulvestrant,Vorinostat,HCT-116,-3.4444444444444446
Azacitidine,Nilotinib,SNB-75,-7.0
Sirolimus,Nilotinib,K-562,31.44444444444445
Decitabine,Paclitaxel,MDA-MB-468,-3.333333333333333
Zoledronic acid,Vorinostat,SF-268,-0.8888888888888888
Nilotinib,Celecoxib,IGROV1,-4.2222222222222205
Mitotane,Cladribine,K-562,-0.8888888888888888
Thalidomide,Azacitidine,SK-MEL-5,1.3333333333333333
Everolimus,Nilotinib,SNB-75,-6.333333333333332
Zoledronic acid,Dasatinib,SF-295,-6.888888888888888
Thalidomide,Mitotane,U251,1.7777777777777777
Everolimus,Azacitidine,SK-MEL-28,-19.777777777777786
Zoledronic acid,Romidepsin,LOX IMVI,-2.555555555555556
Zoledronic acid,Docetaxel,SK-MEL-2,-5.4444444444444455
Azacitidine,Paclitaxel,MDA-MB-468,3.4444444444444446
Sirolimus,Cladribine,NCI-H23,-7.4444444444444455
Vorinostat,Docetaxel,SK-MEL-28,-3.7777777777777777
Dasatinib,Celecoxib,DU-145,-8.222222222222221
Fulvestrant,Nilotinib,NCI-H522,-3.888888888888889
Fulvestrant,Everolimus,SF-268,14.666666666666664
Fulvestrant,Sirolimus,K-562,-9.0
Gefitinib,Lenalidomide,SK-MEL-28,-2.4444444444444446
Everolimus,Docetaxel,KM12,0.1111111111111111
Fulvestrant,Vorinostat,NCI-H460,-0.7777777777777778
Zoledronic acid,Celecoxib,SK-OV-3,-2.888888888888889
Dasatinib,Nilotinib,SF-268,-10.0
Paclitaxel,Tretinoin,UACC-257,10.111111111111107
Zoledronic acid,Paclitaxel,HCT-116,5.777777777777778
Zoledronic acid,Nilotinib,SK-MEL-5,-6.5555555555555545
Fulvestrant,Vorinostat,SW-620,1.0
Thalidomide,Tretinoin,SF-268,-5.0
Fulvestrant,Paclitaxel,BT-549,-3.0
Romidepsin,Docetaxel,NCI-H522,-3.333333333333333
Vorinostat,Azacitidine,SW-620,-3.555555555555556
Thalidomide,Paclitaxel,SF-539,-4.777777777777779
Docetaxel,Nilotinib,HS 578T,12.555555555555555
Mitotane,Tretinoin,SK-MEL-28,3.0
Docetaxel,Cladribine,SW-620,-0.6666666666666666
Vorinostat,Paclitaxel,SK-MEL-28,-4.0
Zoledronic acid,Vorinostat,A498,2.1111111111111107
Mitotane,Cladribine,HOP-92,0.7777777777777778
Zoledronic acid,Sirolimus,A549/ATCC,10.444444444444443
Everolimus,Romidepsin,NCI-H522,-2.1111111111111107
Mitotane,Cladribine,OVCAR-8,0.0
Zoledronic acid,Dasatinib,SW-620,-0.6666666666666666
Megestrol acetate,Gefitinib,SR,5.111111111111111
Zoledronic acid,Cladribine,NCI-H522,-4.777777777777779
Zoledronic acid,Docetaxel,RPMI-8226,-1.8888888888888888
Dasatinib,Celecoxib,T-47D,1.6666666666666667
Zoledronic acid,Docetaxel,A549/ATCC,-0.7777777777777778
Azacitidine,Cladribine,SK-MEL-5,0.3333333333333333
Zoledronic acid,Paclitaxel,CAKI-1,-14.666666666666664
Mitotane,Tretinoin,K-562,5.777777777777778
Paclitaxel,Sirolimus,MDA-MB-468,1.5555555555555556
Everolimus,Paclitaxel,NCI-H522,11.888888888888893
Sirolimus,Celecoxib,SW-620,-0.1111111111111111
Decitabine,Docetaxel,ACHN,-1.7777777777777777
Decitabine,Cladribine,SF-268,0.2222222222222222
Decitabine,Docetaxel,RPMI-8226,1.6666666666666667
Everolimus,Vorinostat,HCT-15,-3.6666666666666665
Nilotinib,Celecoxib,SF-539,-4.666666666666667
Fulvestrant,Azacitidine,A549/ATCC,0.3333333333333333
Megestrol acetate,Gefitinib,KM12,-11.555555555555555
Fulvestrant,Romidepsin,IGROV1,2.0
Fulvestrant,Everolimus,SNB-75,12.888888888888893
Fulvestrant,Cladribine,U251,1.6666666666666667
Mitotane,Cladribine,ACHN,3.333333333333333
Mitotane,Nilotinib,SK-MEL-5,-9.888888888888893
Thalidomide,Tretinoin,SF-295,-6.5555555555555545
