Drug A,Drug B,Cell Line Name,Score
Fulvestrant,Nilotinib,A498,-2.555555555555556
Everolimus,Docetaxel,T-47D,-9.888888888888893
Fulvestrant,Romidepsin,OVCAR-8,2.333333333333333
Fulvestrant,Cladribine,UACC-257,-7.0
Romidepsin,Tretinoin,OVCAR-4,-2.888888888888889
Mitotane,Dasatinib,SF-268,-6.1111111111111125
Dasatinib,Vorinostat,NCI-H522,-2.888888888888889
Cladribine,Celecoxib,SK-OV-3,-4.111111111111111
Azacitidine,Cladribine,NCI-H522,2.6666666666666665
Fulvestrant,Paclitaxel,KM12,-1.6666666666666667
Paclitaxel,Cladribine,MDA-MB-468,8.333333333333334
Mitotane,Celecoxib,UACC-62,-4.111111111111111
Azacitidine,Fulvestrant,PC-3,-1.7777777777777777
Fulvestrant,Azacitidine,NCI-H522,-4.888888888888889
Azacitidine,Celecoxib,SK-MEL-28,-15.333333333333336
Everolimus,Dasatinib,IGROV1,-0.6666666666666666
Docetaxel,Nilotinib,LOX IMVI,13.777777777777779
Romidepsin,Tretinoin,NCI-H522,-5.333333333333333
Mitotane,Sirolimus,NCI-H460,-4.2222222222222205
Everolimus,Tretinoin,DU-145,-2.333333333333333
Azacitidine,Nilotinib,PC-3,-11.444444444444445
Docetaxel,Nilotinib,SNB-75,9.444444444444443
Paclitaxel,Tretinoin,OVCAR-4,9.555555555555557
Mitotane,Azacitidine,T-47D,-11.111111111111107
Gefitinib,Lenalidomide,MDA-MB-468,0.5555555555555556
Romidepsin,Tretinoin,UACC-257,3.555555555555556
Dasatinib,Sirolimus,OVCAR-4,-2.7777777777777777
Thalidomide,Mitotane,ACHN,-1.7777777777777777
Fulvestrant,Everolimus,SK-MEL-28,19.555555555555557
Everolimus,Paclitaxel,A498,2.888888888888889
Everolimus,Cladribine,A549/ATCC,-2.4444444444444446
Everolimus,Sirolimus,SNB-75,-1.3333333333333333
Decitabine,Cladribine,DU-145,3.4444444444444446
Nilotinib,Mitotane,NCI-H522,-3.888888888888889
Fulvestrant,Azacitidine,UACC-257,1.2222222222222223
Everolimus,Sirolimus,SF-268,-2.555555555555556
Thalidomide,Tretinoin,SW-620,-4.888888888888889
Docetaxel,Cladribine,A498,-2.555555555555556
Thalidomide,Docetaxel,SF-539,0.0
Decitabine,Mitotane,OVCAR-4,1.4444444444444444
Azacitidine,Docetaxel,T-47D,-14.111111111111107
Zoledronic acid,Azacitidine,A498,1.4444444444444444
Fulvestrant,Everolimus,SR,-17.0
Zoledronic acid,Nilotinib,LOX IMVI,-6.666666666666668
Everolimus,Azacitidine,UACC-257,-0.4444444444444444
Azacitidine,Paclitaxel,SNB-75,-2.0
Megestrol acetate,Lenalidomide,OVCAR-8,0.7777777777777778
Zoledronic acid,Tretinoin,CAKI-1,-3.4444444444444446
Fulvestrant,Vorinostat,HCT-15,1.3333333333333333
Dasatinib,Paclitaxel,KM12,16.22222222222222
Mitotane,Azacitidine,K-562,-0.3333333333333333
Zoledronic acid,Nilotinib,SR,-6.5555555555555545
Paclitaxel,Celecoxib,RPMI-8226,37.0
Fulvestrant,Dasatinib,HCT-15,-3.0
Docetaxel,Fulvestrant,UACC-257,5.666666666666668
Romidepsin,Tretinoin,IGROV1,3.4444444444444446
Sirolimus,Nilotinib,OVCAR-3,2.6666666666666665
Tretinoin,Celecoxib,SW-620,-7.777777777777778
Fulvestrant,Sirolimus,OVCAR-4,-6.666666666666668
Fulvestrant,Nilotinib,SK-OV-3,-10.111111111111107
Azacitidine,Romidepsin,UACC-257,-3.6666666666666665
Decitabine,Tretinoin,SF-295,-3.555555555555556
Everolimus,Celecoxib,LOX IMVI,-1.6666666666666667
Sirolimus,Mitotane,K-562,0.0
Dasatinib,Docetaxel,UACC-257,0.5555555555555556
Thalidomide,Mitotane,NCI-H522,-5.333333333333333
Dasatinib,Docetaxel,MDA-MB-468,-1.0
Everolimus,Azacitidine,KM12,-5.0
Mitotane,Tretinoin,LOX IMVI,-9.888888888888893
Mitotane,Cladribine,MDA-MB-468,-4.777777777777779
Mitotane,Celecoxib,SR,-17.0
Thalidomide,Sirolimus,NCI-H522,2.2222222222222223
Vorinostat,Azacitidine,SF-268,-8.0
Decitabine,Tretinoin,HS 578T,5.0
Mitotane,Cladribine,SK-MEL-5,-0.2222222222222222
Sirolimus,Tretinoin,A549/ATCC,4.777777777777779
