Drug A,Drug B,Cell Line Name,Score
Vorinostat,Paclitaxel,UACC-62,-11.444444444444445
Romidepsin,Paclitaxel,HCT-116,0.6666666666666666
Zoledronic acid,Sirolimus,NCI-H23,0.8888888888888888
Fulvestrant,Sirolimus,SK-OV-3,-7.222222222222222
Mitotane,Docetaxel,SNB-75,-1.6666666666666667
Zoledronic acid,Cladribine,T-47D,-1.8888888888888888
Sirolimus,Mitotane,UACC-257,-5.666666666666668
Everolimus,Sirolimus,DU-145,2.333333333333333
Zoledronic acid,Azacitidine,MCF7,-6.777777777777778
Romidepsin,Tretinoin,SK-MEL-28,-5.111111111111111
Azacitidine,Romidepsin,HCT-116,1.8888888888888888
Zoledronic acid,Tretinoin,MDA-MB-468,1.5555555555555556
Fulvestrant,Azacitidine,SK-MEL-5,-1.1111111111111112
Decitabine,Azacitidine,MDA-MB-468,5.111111111111111
Everolimus,Romidepsin,A549/ATCC,0.3333333333333333
Mitotane,Tretinoin,ACHN,4.777777777777779
Azacitidine,Paclitaxel,SK-MEL-28,-3.888888888888889
Dasatinib,Nilotinib,RPMI-8226,-7.4444444444444455
Mitotane,Tretinoin,SF-268,0.1111111111111111
Mitotane,Tretinoin,SNB-75,-4.4444444444444455
Azacitidine,Paclitaxel,SF-539,-29.777777777777786
Decitabine,Sirolimus,SF-295,-1.8888888888888888
Mitotane,Dasatinib,MDA-MB-231/ATCC,-0.2222222222222222
Mitotane,Celecoxib,NCI-H460,-6.1111111111111125
Sirolimus,Celecoxib,BT-549,-11.0
Everolimus,Vorinostat,K-562,-4.888888888888889
Romidepsin,Cladribine,UACC-257,-1.7777777777777777
Nilotinib,Mitotane,PC-3,-3.888888888888889
Vorinostat,Docetaxel,KM12,1.0
Paclitaxel,Tretinoin,MDA-MB-468,32.55555555555556
Decitabine,Tretinoin,U251,-2.555555555555556
Everolimus,Dasatinib,BT-549,-3.2222222222222223
Zoledronic acid,Nilotinib,DU-145,-4.4444444444444455
Everolimus,Nilotinib,SF-268,-8.333333333333334
Zoledronic acid,Celecoxib,HCT-116,-9.0
Zoledronic acid,Paclitaxel,A549/ATCC,4.0
Paclitaxel,Celecoxib,MDA-MB-231/ATCC,23.222222222222207
Decitabine,Mitotane,SK-MEL-5,-2.6666666666666665
Docetaxel,Celecoxib,IGROV1,8.444444444444445
Dasatinib,Docetaxel,BT-549,-1.3333333333333333
Docetaxel,Celecoxib,SK-MEL-5,4.4444444444444455
Romidepsin,Tretinoin,PC-3,3.333333333333333
Vorinostat,Paclitaxel,OVCAR-3,0.8888888888888888
Thalidomide,Sirolimus,MCF7,0.1111111111111111
Zoledronic acid,Celecoxib,SF-539,-7.666666666666668
Romidepsin,Celecoxib,BT-549,3.333333333333333
Zoledronic acid,Everolimus,HCT-116,-14.555555555555555
Fulvestrant,Sirolimus,NCI-H23,-5.111111111111111
Thalidomide,Docetaxel,RPMI-8226,-11.666666666666664
Zoledronic acid,Paclitaxel,DU-145,5.777777777777778
Romidepsin,Docetaxel,UACC-257,2.6666666666666665
Fulvestrant,Nilotinib,SK-MEL-5,-3.888888888888889
Azacitidine,Fulvestrant,NCI-H522,-12.333333333333336
Dasatinib,Vorinostat,OVCAR-4,-9.444444444444443
Docetaxel,Sirolimus,HCT-116,1.5555555555555556
Zoledronic acid,Cladribine,UACC-62,-11.666666666666664
Mitotane,Celecoxib,ACHN,-3.111111111111111
Nilotinib,Celecoxib,HCT-116,-4.777777777777779
Zoledronic acid,Everolimus,LOX IMVI,-2.1111111111111107
Fulvestrant,Azacitidine,CAKI-1,-3.4444444444444446
Thalidomide,Tretinoin,UACC-257,-0.6666666666666666
Decitabine,Tretinoin,RPMI-8226,4.0
Zoledronic acid,Vorinostat,MDA-MB-468,-3.4444444444444446
Fulvestrant,Cladribine,SF-539,-7.333333333333332
Docetaxel,Nilotinib,OVCAR-8,10.0
Mitotane,Sirolimus,HS 578T,-4.5555555555555545
Cladribine,Celecoxib,HS 578T,-1.7777777777777777
Everolimus,Celecoxib,A498,-1.5555555555555556
Mitotane,Tretinoin,SK-OV-3,3.555555555555556
Everolimus,Vorinostat,SW-620,0.6666666666666666
Azacitidine,Celecoxib,MDA-MB-468,-0.2222222222222222
Romidepsin,Sirolimus,SNB-75,-0.2222222222222222
Mitotane,Docetaxel,SF-539,19.555555555555557
Mitotane,Dasatinib,RPMI-8226,-19.88888888888889
Decitabine,Tretinoin,OVCAR-4,-3.0
Thalidomide,Azacitidine,HOP-92,-3.0
Vorinostat,Romidepsin,NCI-H522,2.4444444444444446
Zoledronic acid,Sirolimus,DU-145,-8.888888888888891
Everolimus,Tretinoin,UACC-257,-6.777777777777778
Sirolimus,Mitotane,MDA-MB-231/ATCC,-0.7777777777777778
Decitabine,Mitotane,CAKI-1,1.3333333333333333
Docetaxel,Paclitaxel,DU-145,9.777777777777779
Everolimus,Dasatinib,HS 578T,0.1111111111111111
Fulvestrant,Tretinoin,BT-549,1.6666666666666667
Sirolimus,Mitotane,NCI-H460,1.7777777777777777
Zoledronic acid,Azacitidine,UACC-257,1.0
Vorinostat,Romidepsin,UACC-257,-2.555555555555556
Zoledronic acid,Sirolimus,SNB-75,-0.5555555555555556
Thalidomide,Tretinoin,HCT-15,-6.888888888888888
Vorinostat,Paclitaxel,A498,-4.777777777777779
Everolimus,Azacitidine,IGROV1,-9.0
Zoledronic acid,Celecoxib,IGROV1,-2.333333333333333
Dasatinib,Azacitidine,MDA-MB-468,-2.6666666666666665
Decitabine,Cladribine,NCI-H23,10.222222222222221
Zoledronic acid,Azacitidine,NCI-H522,-0.7777777777777778
Zoledronic acid,Cladribine,IGROV1,1.1111111111111112
Mitotane,Cladribine,SW-620,-1.1111111111111112
Mitotane,Everolimus,T-47D,-7.888888888888887
Fulvestrant,Tretinoin,OVCAR-3,1.7777777777777777
Docetaxel,Paclitaxel,SNB-75,-0.7777777777777778
Fulvestrant,Azacitidine,SK-OV-3,-3.4444444444444446
Everolimus,Celecoxib,PC-3,4.888888888888889
Mitotane,Dasatinib,NCI-H460,-1.1111111111111112
Sirolimus,Tretinoin,HCT-116,-1.2222222222222223
Fulvestrant,Everolimus,LOX IMVI,15.888888888888893
Zoledronic acid,Docetaxel,A498,6.777777777777778
Paclitaxel,Sirolimus,UACC-62,-11.0
Tretinoin,Cladribine,SK-OV-3,-2.333333333333333
Paclitaxel,Sirolimus,K-562,1.0
Azacitidine,Docetaxel,RPMI-8226,1.5555555555555556
Megestrol acetate,Lenalidomide,KM12,-19.88888888888889
Fulvestrant,Dasatinib,NCI-H460,-3.333333333333333
Mitotane,Cladribine,SF-268,1.3333333333333333
Everolimus,Tretinoin,U251,-13.0
Azacitidine,Sirolimus,SF-539,4.5555555555555545
Everolimus,Cladribine,SW-620,-2.7777777777777777
Vorinostat,Tretinoin,A549/ATCC,-2.0
Thalidomide,Sirolimus,UACC-62,4.111111111111111
Romidepsin,Celecoxib,OVCAR-4,-4.111111111111111
Romidepsin,Sirolimus,OVCAR-4,-0.5555555555555556
Nilotinib,Mitotane,T-47D,2.555555555555556
Paclitaxel,Tretinoin,IGROV1,13.555555555555555
Zoledronic acid,Vorinostat,U251,2.4444444444444446
Azacitidine,Romidepsin,SW-620,1.3333333333333333
Mitotane,Everolimus,OVCAR-4,10.222222222222221
Fulvestrant,Azacitidine,BT-549,1.8888888888888888
Fulvestrant,Romidepsin,MCF7,2.555555555555556
Everolimus,Paclitaxel,PC-3,3.2222222222222223
Everolimus,Nilotinib,UACC-62,-5.777777777777778
Azacitidine,Celecoxib,UACC-257,-6.4444444444444455
Decitabine,Cladribine,A498,-6.777777777777778
Mitotane,Cladribine,UACC-257,-15.666666666666664
Sirolimus,Celecoxib,A549/ATCC,3.0
Decitabine,Docetaxel,HCT-15,-6.1111111111111125
Azacitidine,Nilotinib,A498,-23.11111111111111
Zoledronic acid,Vorinostat,MDA-MB-231/ATCC,-0.3333333333333333
Thalidomide,Sirolimus,HS 578T,-2.888888888888889
Fulvestrant,Paclitaxel,OVCAR-3,-3.7777777777777777
Paclitaxel,Tretinoin,BT-549,38.111111111111114
Vorinostat,Paclitaxel,NCI-H460,-12.333333333333336
Azacitidine,Docetaxel,KM12,-2.1111111111111107
Fulvestrant,Everolimus,HS 578T,20.88888888888889
Zoledronic acid,Cladribine,SK-MEL-2,4.333333333333333
Zoledronic acid,Nilotinib,ACHN,-10.666666666666666
Paclitaxel,Nilotinib,UACC-62,20.777777777777786
Docetaxel,Nilotinib,SK-MEL-5,-5.666666666666668
Docetaxel,Fulvestrant,SF-268,-6.1111111111111125
Azacitidine,Romidepsin,KM12,1.3333333333333333
Gefitinib,Lenalidomide,SNB-75,-6.333333333333332
Everolimus,Dasatinib,A549/ATCC,0.6666666666666666
Sirolimus,Mitotane,HOP-92,-6.5555555555555545
Zoledronic acid,Romidepsin,MDA-MB-468,0.5555555555555556
Paclitaxel,Sirolimus,NCI-H522,0.6666666666666666
Docetaxel,Tretinoin,NCI-H460,18.777777777777786
Fulvestrant,Paclitaxel,UACC-257,-2.555555555555556
Fulvestrant,Dasatinib,HOP-92,-4.2222222222222205
Docetaxel,Tretinoin,A498,6.777777777777778
