src,src_name,dest,dest_name,weight,edge_type
1,ABCA1,122,APOA1,0.13180369107673565,gene-gene
3,ABCC8,303,CACNA1A,0.14883127311865488,gene-gene
3,ABCC8,304,CACNA1B,0.14420028682798147,gene-gene
3,ABCC8,305,CACNA1C,0.2109146632719785,gene-gene
3,ABCC8,306,CACNA1D,0.15388109566022953,gene-gene
3,ABCC8,307,CACNA1E,0.14653432307144007,gene-gene
3,ABCC8,308,CACNA1G,0.11884196009486914,gene-gene
4,ABCF2,360,CASP9,0.2504987384503086,gene-gene
6,ABI1,287,BRK1,0.19072690016279617,gene-gene
6,ABI1,600,CYFIP1,0.24531961232423782,gene-gene
6,ABI1,601,CYFIP2,0.1784131427605947,gene-gene
6,ABI1,1575,NCKAP1,0.2184475533043345,gene-gene
6,ABI1,2709,WASF1,0.2486900066335996,gene-gene
6,ABI1,2710,WASF2,0.08013083320111036,gene-gene
6,ABI1,2711,WASF3,0.18531062205632529,gene-gene
7,ABI2,287,BRK1,0.13386958977207541,gene-gene
7,ABI2,600,CYFIP1,0.20665957778692245,gene-gene
7,ABI2,601,CYFIP2,0.1866179034113884,gene-gene
7,ABI2,1575,NCKAP1,0.21155509849389395,gene-gene
7,ABI2,2709,WASF1,0.20938645116984844,gene-gene
8,ABL1,367,CBL,0.3119058658679326,gene-gene
8,ABL1,546,CRK,0.07495630905032158,gene-gene
8,ABL1,547,CRKL,0.13434078342591724,gene-gene
8,ABL1,767,ENAH,0.14749822889765105,gene-gene
8,ABL1,1015,GRB2,0.09703643852844834,gene-gene
8,ABL1,1535,MYC,0.08708745931896071,gene-gene
8,ABL1,2071,RAC1,0.19133227566878,gene-gene
8,ABL1,2072,RAC3,0.2809687095383803,gene-gene
8,ABL1,2118,RB1,0.12171074127157529,gene-gene
8,ABL1,2175,ROBO1,0.3016866358617942,gene-gene
8,ABL1,2176,ROBO2,0.1989005208015442,gene-gene
8,ABL1,2298,SHC2,0.1788907516747713,gene-gene
8,ABL1,2299,SHC4,0.1686476442652444,gene-gene
8,ABL1,2439,STAT5A,0.24893973271052042,gene-gene
8,ABL1,2440,STAT5B,0.34752248227596283,gene-gene
9,ABL2,2071,RAC1,0.21961177016297975,gene-gene
9,ABL2,2072,RAC3,0.2554510161280632,gene-gene
19,ACP1,571,CTNNB1,0.057014529748509325,gene-gene
26,ACTB,27,ACTG1,0.15209759896000227,gene-gene
26,ACTB,28,ACTL6A,0.1817213629061977,gene-gene
26,ACTB,30,ACTN1,0.09700364464273055,gene-gene
26,ACTB,31,ACTN4,0.19077515850464502,gene-gene
26,ACTB,32,ACTR2,0.10528617961487423,gene-gene
26,ACTB,33,ACTR3,0.09215473135312398,gene-gene
26,ACTB,34,ACTR3B,0.12099025685650606,gene-gene
26,ACTB,35,ACTR3C,0.1821726200481256,gene-gene
26,ACTB,153,ARID1A,0.07814338430762291,gene-gene
26,ACTB,159,ARPC1A,0.1569852332274119,gene-gene
26,ACTB,160,ARPC1B,0.2797538998226325,gene-gene
26,ACTB,161,ARPC2,0.15174755826592445,gene-gene
26,ACTB,162,ARPC3,0.15299240841219822,gene-gene
26,ACTB,163,ARPC4,0.1739060189574957,gene-gene
26,ACTB,164,ARPC5,0.2379333513478438,gene-gene
26,ACTB,165,ARPC5L,0.15644279091308513,gene-gene
26,ACTB,443,CFL1,0.08782774799813826,gene-gene
26,ACTB,444,CFL2,0.2132854200899601,gene-gene
26,ACTB,569,CTNNA1,0.1589982626028359,gene-gene
26,ACTB,570,CTNNA2,0.1227809451520443,gene-gene
26,ACTB,660,DPF1,0.17809628198544183,gene-gene
26,ACTB,661,DPF3,0.13860076324393353,gene-gene
26,ACTB,1219,ITGB3,0.15720543762048086,gene-gene
26,ACTB,1547,MYL6,0.17763323616236448,gene-gene
26,ACTB,1548,MYL6B,0.09479682054370642,gene-gene
26,ACTB,1549,MYL9,0.22677408903837204,gene-gene
26,ACTB,1838,PFN1,0.1978100842485825,gene-gene
26,ACTB,1839,PFN2,0.12189646406720082,gene-gene
26,ACTB,1840,PFN3,0.2751094152530034,gene-gene
26,ACTB,1841,PFN4,0.20046059601008892,gene-gene
26,ACTB,1936,PPARG,0.12101274849070857,gene-gene
26,ACTB,2359,SMARCA2,0.15716624756654105,gene-gene
26,ACTB,2360,SMARCA4,0.1308374642006432,gene-gene
26,ACTB,2361,SMARCB1,0.09605834633111954,gene-gene
26,ACTB,2362,SMARCC1,0.1114586346084252,gene-gene
26,ACTB,2363,SMARCC2,0.17060228871802488,gene-gene
26,ACTB,2364,SMARCD1,0.23975365236401558,gene-gene
26,ACTB,2365,SMARCD2,0.11984045011922717,gene-gene
26,ACTB,2366,SMARCD3,0.10525957118564595,gene-gene
26,ACTB,2367,SMARCE1,0.353352593878905,gene-gene
26,ACTB,2447,STK3,0.22574964755525193,gene-gene
26,ACTB,2476,SYNPO,0.09742184759428103,gene-gene
26,ACTB,2551,TJP1,0.3154943672319253,gene-gene
26,ACTB,2694,VCL,0.24485929186145464,gene-gene
27,ACTG1,28,ACTL6A,0.11058873861717682,gene-gene
27,ACTG1,30,ACTN1,0.19245747600992522,gene-gene
27,ACTG1,31,ACTN4,0.21597413221995035,gene-gene
27,ACTG1,32,ACTR2,0.15534749068319798,gene-gene
27,ACTG1,33,ACTR3,0.1842514347905914,gene-gene
27,ACTG1,34,ACTR3B,0.17567851270238558,gene-gene
27,ACTG1,35,ACTR3C,0.15998189275463423,gene-gene
27,ACTG1,153,ARID1A,0.16471455524879275,gene-gene
27,ACTG1,159,ARPC1A,0.21286166490366062,gene-gene
27,ACTG1,160,ARPC1B,0.08526839560363442,gene-gene
27,ACTG1,161,ARPC2,0.19140688392023245,gene-gene
27,ACTG1,162,ARPC3,0.1293021614352862,gene-gene
27,ACTG1,163,ARPC4,0.12694599836443862,gene-gene
27,ACTG1,164,ARPC5,0.1889930764834086,gene-gene
27,ACTG1,165,ARPC5L,0.1447159961098805,gene-gene
27,ACTG1,443,CFL1,0.10424606129527092,gene-gene
27,ACTG1,444,CFL2,0.11938770844911535,gene-gene
27,ACTG1,569,CTNNA1,0.2695496774589022,gene-gene
27,ACTG1,570,CTNNA2,0.19832939902941385,gene-gene
27,ACTG1,660,DPF1,0.20195444455991188,gene-gene
27,ACTG1,661,DPF3,0.13345990826686224,gene-gene
27,ACTG1,1219,ITGB3,0.13208411680534482,gene-gene
27,ACTG1,1547,MYL6,0.13900899541719505,gene-gene
27,ACTG1,1548,MYL6B,0.15228483476676047,gene-gene
27,ACTG1,1549,MYL9,0.09531548448527853,gene-gene
27,ACTG1,1838,PFN1,0.19634734963377318,gene-gene
27,ACTG1,1839,PFN2,0.1896948516368866,gene-gene
27,ACTG1,1840,PFN3,0.20203324034810066,gene-gene
27,ACTG1,1841,PFN4,0.31175422730545205,gene-gene
27,ACTG1,1936,PPARG,0.15779300220310688,gene-gene
27,ACTG1,2359,SMARCA2,0.17155578391005596,gene-gene
27,ACTG1,2360,SMARCA4,0.2711647053559621,gene-gene
27,ACTG1,2361,SMARCB1,0.13061727893849215,gene-gene
27,ACTG1,2362,SMARCC1,0.11896367867787679,gene-gene
27,ACTG1,2363,SMARCC2,0.25406099917987984,gene-gene
27,ACTG1,2447,STK3,0.09212882185480946,gene-gene
27,ACTG1,2476,SYNPO,0.1522967213143905,gene-gene
27,ACTG1,2551,TJP1,0.16418091238786778,gene-gene
27,ACTG1,2694,VCL,0.12045744030425946,gene-gene
28,ACTL6A,1936,PPARG,0.1574792998532454,gene-gene
28,ACTL6A,2359,SMARCA2,0.14435889851301908,gene-gene
28,ACTL6A,2360,SMARCA4,0.12697653596599898,gene-gene
28,ACTL6A,2361,SMARCB1,0.2333409689987699,gene-gene
28,ACTL6A,2362,SMARCC1,0.13931794464588165,gene-gene
28,ACTL6A,2363,SMARCC2,0.17733532500763735,gene-gene
29,ACTL6B,26,ACTB,0.18768286829193434,gene-gene
29,ACTL6B,27,ACTG1,0.14953909581527114,gene-gene
29,ACTL6B,28,ACTL6A,0.21949934786728895,gene-gene
29,ACTL6B,153,ARID1A,0.1379823398310691,gene-gene
29,ACTL6B,154,ARID1B,0.08367414710422356,gene-gene
29,ACTL6B,660,DPF1,0.07915175434512396,gene-gene
29,ACTL6B,661,DPF3,0.1596969043215116,gene-gene
29,ACTL6B,1789,PBRM1,0.2509179183592399,gene-gene
29,ACTL6B,1848,PHF10,0.13868183107115328,gene-gene
29,ACTL6B,1936,PPARG,0.15958150244356753,gene-gene
29,ACTL6B,2359,SMARCA2,0.13994034857023507,gene-gene
29,ACTL6B,2360,SMARCA4,0.12540178435544172,gene-gene
29,ACTL6B,2361,SMARCB1,0.19109808777769408,gene-gene
29,ACTL6B,2362,SMARCC1,0.1569345872849226,gene-gene
29,ACTL6B,2363,SMARCC2,0.12843385509525737,gene-gene
29,ACTL6B,2364,SMARCD1,0.17252215898285309,gene-gene
29,ACTL6B,2365,SMARCD2,0.1388141761223475,gene-gene
29,ACTL6B,2366,SMARCD3,0.08623206553359826,gene-gene
29,ACTL6B,2367,SMARCE1,0.1726380360002319,gene-gene
30,ACTN1,1206,ITGA1,0.18991040252149105,gene-gene
30,ACTN1,1207,ITGA11,0.18193203676491976,gene-gene
30,ACTN1,1208,ITGA2,0.16238739054339626,gene-gene
30,ACTN1,1209,ITGA3,0.14040477635959783,gene-gene
30,ACTN1,1210,ITGA4,0.08249457087367773,gene-gene
30,ACTN1,1211,ITGA5,0.07873531679312389,gene-gene
30,ACTN1,1212,ITGA6,0.1261411578549693,gene-gene
30,ACTN1,1213,ITGA7,0.16597249917685986,gene-gene
30,ACTN1,1214,ITGA9,0.14879596730073294,gene-gene
30,ACTN1,1215,ITGAV,0.10406792877862851,gene-gene
30,ACTN1,1217,ITGB1,0.17067808595796427,gene-gene
30,ACTN1,1219,ITGB3,0.18558622524142265,gene-gene
30,ACTN1,1220,ITGB4,0.21884898593028387,gene-gene
30,ACTN1,1221,ITGB5,0.21716302384932837,gene-gene
30,ACTN1,1222,ITGB8,0.2245834656059742,gene-gene
30,ACTN1,1340,LMO7,0.13613020877043405,gene-gene
